id,category,filename,target_folder,search_query,fallback_query,format,min_dimensions,license,notes
1,brand,malawi-coat-of-arms-hires.png,src/NexusFine.Admin/wwwroot/img/gov/,"Malawi coat of arms official PNG transparent high resolution","Coat of Arms of Malawi vector PNG transparent",PNG,1024x1024,public-domain (state symbol),"Mirror to API portal too. The current SVG can stay as a fallback. Use this in the dashboard hero circle."
2,brand,mps-crest-hires.png,src/NexusFine.Admin/wwwroot/img/gov/,"Malawi Police Service crest official PNG transparent","Malawi Police logo PNG high resolution",PNG,1024x1024,fair-use (govt body),"Replace the existing low-res mps-crest.png. Mirror to both portals."
3,brand,drtss-emblem-hires.png,src/NexusFine.Admin/wwwroot/img/gov/,"Directorate of Road Traffic Safety Services Malawi logo PNG","DRTSS Malawi traffic department logo",PNG,800x800,fair-use,"Often hard to find — the current drtss-logo.png may be best available."
4,brand,malawi-presidential-seal.svg,src/NexusFine.Admin/wwwroot/img/gov/,"Malawi presidential seal SVG vector","State House Malawi seal PNG",SVG,512x512,public-domain,"Optional — useful for 'Authorised by' headers."
5,sidebar,sidebar-eagle.svg,src/NexusFine.Admin/wwwroot/img/decor/,"African fish eagle silhouette SVG free","fish eagle vector black silhouette",SVG,400x400,free-commercial,"Malawi national bird. Place as low-opacity watermark behind sidebar nav."
6,sidebar,sidebar-pattern-gold.svg,src/NexusFine.Admin/wwwroot/img/decor/,"gold lattice pattern seamless SVG dark navy","navy gold geometric pattern seamless tile",SVG,200x200,free-commercial,"Tileable. Use over sidebar bg at 8-12% opacity."
7,sidebar,sidebar-flag-vertical.svg,src/NexusFine.Admin/wwwroot/img/decor/,"Malawi flag vertical stripe SVG","tricolor vertical band black red green",SVG,40x600,free-commercial,"Thin vertical accent — black/red/green."
8,region,region-northern.jpg,src/NexusFine.Admin/wwwroot/img/regions/,"Mount Mulanje Malawi landscape photo","Northern Malawi highlands scenic",JPG,1600x900,Creative-Commons,"Scenic for Northern region pages. Try Wikimedia Commons."
9,region,region-central.jpg,src/NexusFine.Admin/wwwroot/img/regions/,"Lilongwe Capital Hill aerial photo","Lilongwe city skyline aerial",JPG,1600x900,Creative-Commons,"Capital Hill or Kamuzu Procession Road for Central region."
10,region,region-southern.jpg,src/NexusFine.Admin/wwwroot/img/regions/,"Blantyre Malawi commercial city aerial","Blantyre CBD photo high resolution",JPG,1600x900,Creative-Commons,"For Southern region pages."
11,buildings,bldg-parliament-malawi.jpg,src/NexusFine.Admin/wwwroot/img/buildings/,"Malawi Parliament building Lilongwe photo","Malawi National Assembly building",JPG,1200x800,Creative-Commons,"Optional accent."
12,buildings,bldg-capital-hill.jpg,src/NexusFine.Admin/wwwroot/img/buildings/,"Capital Hill Lilongwe government complex","Lilongwe government buildings aerial",JPG,1200x800,Creative-Commons,"For 'HQ' callouts."
13,buildings,bldg-police-hq.jpg,src/NexusFine.Admin/wwwroot/img/buildings/,"Malawi Police Service headquarters Lilongwe building","MPS HQ Lilongwe official photo",JPG,1200x800,Creative-Commons-or-fair-use,"Possibly hard to find. Try news archives."
14,buildings,bldg-reserve-bank.jpg,src/NexusFine.Admin/wwwroot/img/buildings/,"Reserve Bank of Malawi building Lilongwe","RBM headquarters Capital City",JPG,1200x800,Creative-Commons,"For Treasury/settlement narrative."
15,scenic,scenic-lake-malawi.jpg,src/NexusFine.Admin/wwwroot/img/scenic/,"Lake Malawi sunset scenic high resolution","Lake Malawi shoreline photo",JPG,1600x900,Creative-Commons,"Optional welcome-screen / login backdrop variant."
16,scenic,scenic-zomba-plateau.jpg,src/NexusFine.Admin/wwwroot/img/scenic/,"Zomba Plateau Malawi viewpoint","Zomba mountain road scenic",JPG,1600x900,Creative-Commons,"Variety for region/scenic accents."
17,scenic,scenic-shire-river.jpg,src/NexusFine.Admin/wwwroot/img/scenic/,"Shire River Malawi photo","Shire River valley aerial",JPG,1600x900,Creative-Commons,"Variety."
18,maps,malawi-districts-map.svg,src/NexusFine.Admin/wwwroot/img/maps/,"Malawi 28 districts map SVG vector labeled","Malawi administrative map districts vector",SVG,1200x1800,Creative-Commons,"Critical — use on Departments page header. Search GitHub topojson + Malawi."
19,maps,malawi-regions-map.svg,src/NexusFine.Admin/wwwroot/img/maps/,"Malawi three regions map vector colored","Northern Central Southern Malawi map SVG",SVG,800x1200,Creative-Commons,"Smaller, simpler — used for the region filter buttons."
20,maps,malawi-roads-network.svg,src/NexusFine.Admin/wwwroot/img/maps/,"Malawi M1 road network map SVG","Malawi highway network vector",SVG,1200x1800,Creative-Commons,"For citizen-portal hero variants and analytics."
21,illustrations,empty-state-no-data.svg,src/NexusFine.Admin/wwwroot/img/illustrations/,"empty state no data illustration SVG dark theme","empty inbox illustration vector minimalist",SVG,400x300,free-commercial,"For tables with no rows. Try unDraw.co (free)."
22,illustrations,empty-state-search.svg,src/NexusFine.Admin/wwwroot/img/illustrations/,"empty search results illustration SVG","no results found illustration vector",SVG,400x300,free-commercial,"unDraw.co usually has these."
23,illustrations,illustration-officer-tablet.svg,src/NexusFine.Admin/wwwroot/img/illustrations/,"police officer with tablet illustration SVG","officer using tablet digital illustration",SVG,500x400,free-commercial,"For the Module 4 (officer device) callout in About / Settings."
24,illustrations,illustration-payment-success.svg,src/NexusFine.Admin/wwwroot/img/illustrations/,"payment success mobile money illustration SVG","mobile money confirmation illustration vector",SVG,500x400,free-commercial,"For receipts / success modals."
25,icons,shield-gold.svg,src/NexusFine.Admin/wwwroot/img/icons/,"police shield gold SVG vector outline","authority shield emblem SVG",SVG,200x240,free-commercial,"For RBAC / security UI."
26,icons,icon-handshake-gold.svg,src/NexusFine.Admin/wwwroot/img/icons/,"handshake gold icon SVG outline","cooperation handshake SVG icon",SVG,200x200,free-commercial,"For 'Authority' / partnership pills."
27,icons,icon-court-gavel.svg,src/NexusFine.Admin/wwwroot/img/icons/,"gavel court icon SVG line","judge gavel vector minimalist",SVG,200x200,free-commercial,"For Disputes / Appeals page."
28,icons,icon-mobile-money.svg,src/NexusFine.Admin/wwwroot/img/icons/,"mobile money phone payment icon SVG","mobile wallet payment SVG icon",SVG,200x200,free-commercial,"For mobile-money-specific UI."
29,avatars,avatar-female-3.svg,src/NexusFine.Admin/wwwroot/img/officers/,"black woman avatar SVG portrait flat","African woman avatar police uniform SVG",SVG,256x256,free-commercial,"Expand officer pool from 5 to 8."
30,avatars,avatar-female-4.svg,src/NexusFine.Admin/wwwroot/img/officers/,"black woman avatar SVG flat illustration neutral expression","African female face avatar SVG variant",SVG,256x256,free-commercial,"DiceBear API usually works (https://www.dicebear.com)."
31,avatars,avatar-male-4.svg,src/NexusFine.Admin/wwwroot/img/officers/,"black man avatar SVG portrait flat illustration","African man avatar police SVG",SVG,256x256,free-commercial,"Expand pool."
32,avatars,avatar-male-5.svg,src/NexusFine.Admin/wwwroot/img/officers/,"black man avatar SVG flat illustration variant","African male face avatar SVG variant",SVG,256x256,free-commercial,"For more officers."
33,avatars,avatar-male-6.svg,src/NexusFine.Admin/wwwroot/img/officers/,"black man avatar SVG flat older variant","African senior officer avatar SVG",SVG,256x256,free-commercial,"For senior ranks."
34,login,login-bg-malawi-flag.jpg,src/NexusFine.Admin/wwwroot/img/login/,"Malawi flag waving close-up high resolution","Malawi flag patriotic photo",JPG,1920x1080,Creative-Commons,"Optional alternate login backdrop. Goes behind navy gradient."
35,login,login-bg-checkpoint-night.jpg,src/NexusFine.Admin/wwwroot/img/login/,"police checkpoint night Africa photo","traffic stop night patrol photo",JPG,1920x1080,Creative-Commons,"Variety for login screen."
